Id,X,Y,V,U,T
1,11,8,0,-99,0
2,8,30,0,-99,0
3,9,48,224.4,-99,0
4,8,69,434.4,-99,0
5,9,90,412.1,-99,0
6,10,110,587.2,-99,0
7,9,129,192.3,-99,0
8,11,150,31.3,-99,0
9,10,170,388.5,-99,0
10,8,188,174.6,-99,0
11,9,209,187.8,-99,0
12,10,231,82.1,-99,1
13,11,250,81.1,-99,1
14,10,269,124.3,-99,0
15,8,288,188,-99,0
16,31,11,28.7,-99,0
17,29,29,78.1,-99,0
18,28,51,292.1,-99,0
19,31,68,895.2,-99,0
20,28,88,702.6,-99,0
21,30,110,490.3,-99,0
22,28,130,136.1,-99,0
23,28,150,335,-99,0
24,30,171,277,-99,0
25,28,190,206.1,-99,0
26,31,209,24.5,-99,0
27,28,229,198.1,-99,0
28,30,250,60.3,-99,0
29,31,269,312.6,-99,0
30,31,289,240.9,-99,0
31,49,11,653.3,-99,0
32,49,29,96.4,-99,0
33,51,48,105,-99,0
34,49,68,37.8,-99,0
35,50,88,820.8,-99,0
36,51,109,450.7,-99,0
37,48,129,190.4,-99,0
38,49,151,773.3,-99,0
39,51,168,971.9,-99,0
40,48,190,762.4,-99,0
41,50,211,968.3,-99,0
42,49,231,394.7,-99,0
43,51,250,343,-99,0
44,50,268,863.8,-99,0
45,51,290,159.6,-99,1
46,71,9,445.8,-99,0
47,71,29,673.3,-99,0
48,70,51,252.6,-99,0
49,68,70,537.5,-99,0
50,69,90,0,-99,0
51,68,110,329.1,-99,0
52,68,128,646.3,-99,0
53,69,148,616.2,-99,0
54,69,169,761.3,-99,0
55,70,191,918,-99,0
56,69,208,97.4,-99,1
57,69,229,0,-99,1
58,68,250,0,-99,1
59,71,268,0,-99,1
60,71,288,2.4,-99,1
61,91,11,368.3,-99,0
62,91,29,91.6,-99,0
63,90,49,654.7,-99,0
64,91,68,645.5,-99,0
65,91,91,907.2,-99,0
66,91,111,826.3,-99,0
67,89,130,975.3,-99,0
68,88,149,551.1,-99,0
69,89,170,155.5,-99,1
70,89,188,10.7,-99,1
71,90,211,0,-99,1
72,90,230,0,-99,1
73,88,249,0,-99,1
74,88,269,12.1,-99,1
75,88,288,62.2,-99,1
76,109,11,399.6,-99,0
77,111,31,176.6,-99,0
78,108,49,402,-99,0
79,109,68,260.6,-99,0
80,108,88,192,-99,0
81,110,109,237.6,-99,0
82,109,129,702,-99,0
83,110,148,38.5,-99,0
84,111,169,22.1,-99,1
85,111,191,2.7,-99,1
86,110,208,17.9,-99,1
87,109,230,174.2,-99,0
88,109,249,12.9,-99,0
89,109,268,187.8,-99,0
90,111,291,268.8,-99,0
91,130,9,572.5,-99,0
92,131,31,29.1,-99,0
93,130,48,75.2,-99,0
94,128,70,399.9,-99,0
95,129,90,243.1,-99,0
96,131,109,0,-99,0
97,129,128,244.7,-99,0
98,131,148,185.2,-99,0
99,131,169,26,-99,1
100,129,191,0,-99,1
101,128,209,100.3,-99,1
102,130,231,530.3,-99,0
103,131,248,107.4,-99,0
104,128,269,159.3,-99,0
105,131,288,70.7,-99,0
106,148,8,260.2,-99,0
107,149,29,326,-99,0
108,150,49,332.7,-99,0
109,151,69,531.3,-99,0
110,150,89,547.2,-99,0
111,150,109,482.7,-99,0
112,150,129,84.1,-99,0
113,150,151,4.7,-99,0
114,149,169,180.6,-99,0
115,151,190,0,-99,1
116,148,208,342.4,-99,0
117,150,228,602.3,-99,0
118,149,251,209.1,-99,0
119,149,271,79.4,-99,0
120,148,291,104.1,-99,0
121,168,8,446,-99,0
122,171,29,189.9,-99,0
123,169,49,280.4,-99,0
124,168,69,0,-99,1
125,168,91,499.3,-99,0
126,171,109,457.3,-99,0
127,168,131,341.2,-99,0
128,171,150,0,-99,0
129,171,171,208.3,-99,0
130,169,191,99.7,-99,1
131,170,210,636.6,-99,0
132,170,230,173.1,-99,0
133,169,249,17,-99,0
134,168,271,283.1,-99,0
135,168,290,30.9,-99,1
136,190,11,348.5,-99,0
137,191,28,222.4,-99,0
138,191,48,59.1,-99,0
139,190,69,0,-99,1
140,190,89,326,-99,0
141,188,111,325.1,-99,0
142,191,129,114.7,-99,0
143,189,149,481.6,-99,0
144,190,169,324.1,-99,0
145,190,189,10.9,-99,1
146,188,210,332.9,-99,0
147,191,231,184.4,-99,0
148,190,248,146.6,-99,0
149,189,270,92,-99,1
150,189,290,2.5,-99,1
151,211,11,358.1,-99,0
152,209,30,473.3,-99,0
153,211,49,308.8,-99,0
154,210,70,406.8,-99,0
155,209,90,812.1,-99,0
156,210,111,339.7,-99,0
157,211,130,223.9,-99,0
158,208,151,673.5,-99,0
159,209,168,141,-99,0
160,208,191,61.8,-99,1
161,210,211,258.3,-99,0
162,211,228,590.3,-99,0
163,211,250,166.9,-99,0
164,208,268,125.2,-99,0
165,208,289,29.3,-99,1
166,231,10,617.6,-99,0
167,231,28,425.9,-99,0
168,230,50,295.7,-99,0
169,230,71,224.9,-99,0
170,229,91,31.7,-99,1
171,229,110,377.4,-99,0
172,230,131,333.3,-99,0
173,228,148,351,-99,0
174,229,169,0,-99,1
175,231,191,137.6,-99,0
176,231,208,451.2,-99,0
177,229,228,639.5,-99,0
178,231,249,119.9,-99,0
179,231,268,27.2,-99,1
180,230,291,2.1,-99,1
181,249,9,167.7,-99,0
182,250,30,147.8,-99,0
183,249,48,442.7,-99,0
184,251,69,487.7,-99,0
185,251,91,0,-99,1
186,248,109,28.2,-99,1
187,249,130,0,-99,1
188,248,150,18.3,-99,1
189,250,169,266.3,-99,0
190,250,190,502.3,-99,0
191,251,208,0,-99,0
192,251,229,240.9,-99,0
193,249,251,234.4,-99,0
194,248,270,22.4,-99,1
195,250,291,45.6,-99,1
196,40,71,76.2,1.1,0
197,21,69,284.3,7.8,0
198,28,80,606.8,105.3,0
199,29,59,772.7,1512.7,0
200,41,81,269.5,9.8,0
201,18,80,1036.7,860.4,0
202,39,60,238.6,12.7,0
203,18,60,519.4,177.1,0
204,41,90,414.9,23.4,0
205,21,90,601.4,173.1,0
206,31,101,579.2,296.5,0
207,41,100,601.4,300.6,0
208,21,100,594.6,229.7,0
209,60,8,550.1,258.3,0
210,40,11,99.4,2.2,0
211,51,18,233.6,14.2,0
212,59,20,14.4,0.1,0
213,41,21,115.9,3.1,0
214,59,90,506.2,126.9,0
215,51,101,502.4,73.8,0
216,50,81,608,210.7,0
217,59,101,363.9,30.4,0
218,60,81,385.6,50.3,0
219,60,151,1521.1,3691.8,0
220,38,148,340.9,50,0
221,50,160,879.1,474.2,0
222,50,138,413.4,83,0
223,61,158,868.9,983.8,0
224,39,160,657.4,217.8,0
225,61,139,477,71.5,0
226,38,140,268.5,26.2,0
227,61,170,806.4,301.1,0
228,39,170,914.4,1548.5,0
229,49,179,811.5,234.9,0
230,58,179,1113.6,2154.7,0
231,39,181,1008,3637.4,0
232,60,191,1528.1,1930.9,0
233,40,190,970.9,1391.1,0
234,51,198,1109,1660.8,0
235,60,198,1203.9,1813.7,0
236,40,200,641.3,249.1,0
237,58,208,720.6,1160.1,0
238,38,209,665.3,547.8,0
239,50,221,543.3,1066.6,0
240,61,220,101.1,59.5,1
241,39,221,615.9,420.9,0
242,59,268,543.1,1714.2,0
243,41,271,868.8,828.7,0
244,49,278,583,1788.8,0
245,51,260,670.7,3738.9,0
246,59,281,148.8,675,1
247,39,279,798,1182.1,0
248,59,258,194.9,983.3,1
249,38,260,635.2,766.6,0
250,78,28,781.6,565.4,0
251,60,29,238.6,12.7,0
252,70,41,472,84.9,0
253,70,21,58.1,0.3,0
254,78,41,600.3,124.6,0
255,61,41,64.9,0.8,0
256,78,20,505.9,70,0
257,80,131,801.6,421.1,0
258,58,128,158.8,4.3,0
259,71,140,606.3,175.1,0
260,70,121,30.7,0,0
261,79,138,730.1,1694.5,0
262,80,119,421.2,35.1,0
263,61,121,104.8,1.8,0
264,79,149,44.1,0,0
265,71,160,801.1,2535,0
266,78,159,742,3371.5,0
267,80,168,689.1,634.6,0
268,69,181,424.6,762.6,0
269,79,181,184.3,241.7,0
270,80,188,245.2,431.1,0
271,70,198,630,1992.1,0
272,81,200,0,0,1
273,100,48,48.7,0,0
274,80,49,757.4,473.8,0
275,90,58,739.8,280.2,0
276,88,39,520.7,76.8,0
277,100,60,0,0,0
278,80,59,0,0,0
279,101,38,730.5,464,0
280,101,68,383.1,97.8,0
281,79,70,508.8,103.9,0
282,90,79,573.3,138.3,0
283,100,78,372.4,70.9,0
284,81,81,585.8,197.2,0
285,100,91,397.2,38.9,0
286,80,89,614.5,192.3,0
287,91,99,734.9,159.6,0
288,101,100,599.3,539.3,0
289,81,98,181.2,1.3,0
290,98,111,744.8,1987,0
291,81,108,1022.3,643,0
292,90,120,899.3,1290.3,0
293,100,118,363.7,20.5,0
294,98,130,513.2,263.9,0
295,90,140,648.8,2147.5,0
296,90,138,645.4,1927.1,0
297,121,131,13,0.2,0
298,111,140,190.3,48.8,0
299,108,121,893,3070.9,0
300,120,141,104.7,14.6,0
301,119,118,150.4,16.9,0
302,158,228,558.4,551.6,0
303,140,229,558,513.9,0
304,150,241,318.5,129.2,0
305,151,218,394.3,239.2,0
306,161,241,141.9,8.6,0
307,141,240,112.5,4.6,0
308,160,218,580.4,1118.7,0
309,139,220,535.9,445.7,0
310,178,211,398.2,561.8,0
311,159,209,517.3,148.8,0
312,169,221,427.2,197.2,0
313,170,198,367.6,1429.8,0
314,180,218,374.7,77.5,0
315,178,201,144.8,81.3,0
316,158,198,169.8,154.5,0
317,219,88,235.1,136.9,0
318,198,90,611.7,735.8,0
319,211,100,746.4,710.6,0
320,208,80,436.6,495.8,0
321,221,99,540.9,586.8,0
322,199,98,801,1419,0
323,220,81,272.1,177.3,0
324,198,78,204.1,86,0
325,220,150,543.9,675,0
326,200,150,606.2,381.1,0
327,208,159,356,280.4,0
328,210,140,440.9,330.3,0
329,221,160,301.8,365.6,0
330,198,161,369.4,154.5,0
331,219,139,166.8,24.5,0
332,200,139,230.9,42.2,0
333,239,8,240.3,80.2,0
334,218,8,737.1,1373.4,0
335,229,19,518.6,147.7,0
336,239,18,390.7,186.7,0
337,218,18,797.4,1429.7,0
338,238,229,602.6,1510.9,0
339,218,228,430.8,265.2,0
340,231,239,354.1,478,0
341,230,221,602.4,538.9,0
342,240,239,172.6,51.9,0
343,221,241,324.8,290.9,0
344,239,220,420.1,398.3,0
345,218,218,763.5,1236.7,0
346,35,71,687.8,486.8,0
347,24,71,735.8,463.9,0
348,34,88,86.9,0.1,0
349,23,91,817,708.8,0
350,54,10,637.9,349.4,0
351,46,11,512.3,392,0
352,55,89,423.4,21.2,0
353,45,89,569.6,62.8,0
354,53,150,858,873,0
355,46,148,234,7.5,0
356,55,168,876,288.1,0
357,43,170,1082.8,1174.9,0
358,55,191,1392.6,1004.7,0
359,44,191,646.6,76.8,0
360,55,211,889.5,938.8,0
361,46,211,509.2,429.7,0
362,54,269,613.1,2922.4,0
363,43,271,767.8,198.1,0
364,73,29,649.4,231.7,0
365,64,31,235.4,10.8,0
366,75,129,782.8,639.3,0
367,64,129,227.3,8.6,0
368,73,149,722.9,696.1,0
369,64,151,974.5,664.1,0
370,75,171,512.2,144.8,0
371,63,168,1215.8,1446.1,0
372,73,188,687.1,2351.5,0
373,64,191,1259.9,1257.6,0
374,93,48,687.5,373.2,0
375,86,48,471.9,31.8,0
376,93,70,512.1,196.1,0
377,84,69,963.9,1210,0
378,93,90,874,1031.3,0
379,86,89,582.4,117,0
380,96,111,553.2,360.5,0
381,85,108,937.3,1495.5,0
382,93,131,883.6,1336.8,0
383,86,131,879.9,965.3,0
384,114,131,268.4,104.4,0
385,106,130,651.5,1957.7,0
386,155,229,386.4,88.2,0
387,145,230,333.2,63.5,0
388,174,208,339.2,335,0
389,166,211,600.3,647.6,0
390,215,89,595.2,1457,0
391,205,89,809.6,955.8,0
392,215,148,293.3,67.7,0
393,204,151,697.3,444.5,0
394,236,9,515.9,1593.8,0
395,223,9,613.2,277.6,0
396,236,229,665.3,1962,0
397,226,230,813.6,2279.8,0
398,35,80,174.8,2,0
399,24,79,891.8,635.7,0
400,36,61,699.6,1547.8,0
401,26,58,39.5,0.3,0
402,16,80,915.6,634.8,0
403,43,60,584,97.4,0
404,15,88,610,319.3,0
405,46,99,566.8,100.2,0
406,36,99,38.1,0,0
407,54,80,483,105,0
408,46,81,542.6,138.6,0
409,54,161,959.3,466.7,0
410,43,161,631.9,261.1,0
411,65,160,928.3,2252.5,0
412,33,160,431,48.6,0
413,36,170,672.3,605.5,0
414,53,179,1003.4,425.4,0
415,44,180,876.4,937.8,0
416,65,181,734.1,589.3,0
417,34,180,366,110.2,0
418,33,191,296.5,79.1,0
419,55,199,1069.2,376.4,0
420,46,198,804.3,674.6,0
421,63,201,731.1,1363.3,0
422,34,201,318.1,79.6,0
423,65,210,238.6,488.3,0
424,35,208,428.9,161.2,0
425,46,220,734.4,1236.1,0
426,36,219,429.1,152.3,0
427,35,217,597.4,397,0
428,53,258,442.6,1696.4,0
429,46,260,765.2,779.8,0
430,45,281,605.5,934.8,0
431,35,278,795.9,1588.3,0
432,35,259,235,18.9,0
433,84,30,562,85.3,0
434,84,41,411.4,34,0
435,75,40,696.7,356.2,0
436,73,141,790.9,607.3,0
437,63,140,696.5,357.8,0
438,84,138,687.3,893.4,0
439,76,159,597.5,997.3,0
440,84,161,437.4,387.2,0
441,86,169,317.4,761.7,0
442,73,199,470.7,5190.1,0
443,76,51,498.7,101.8,0
444,94,61,778.7,1354,0
445,85,60,523.3,117.5,0
446,104,38,617.1,200.2,0
447,93,41,395.5,28.4,0
448,75,90,518.9,113,0
449,94,101,383.7,12.9,0
450,85,100,704.1,126,0
451,104,109,562.3,908.6,0
452,75,110,655.3,349,0
453,95,121,823.6,548.4,0
454,83,119,847.7,701.4,0
455,94,140,607.5,723.2,0
456,103,139,491.2,565.3,0
457,114,120,319.5,154.2,0
458,104,118,594,289.2,0
459,196,91,433.5,254.1,0
460,215,101,209.6,4,0
461,204,101,533.8,127.3,0
462,196,101,592.4,419.4,0
463,195,149,478.7,141.9,0
464,216,11,660.2,1424.8,0
465,225,19,832.2,512.2,0
466,214,19,242.5,15.6,0
467,245,231,161.2,26.1,0
468,233,220,626,959.7,0
469,226,221,800.1,1681.5,0
470,213,218,482.6,476.2,0
